# -ίζω verbs still without a base. Put the source word in column 2.
# My best guess is pre-filled where I had one — CORRECT IT if wrong, blank it to skip.
# VERB	MY_GUESS	(occ)	definition
αἰκίζω	αἴξ	(164)	maltreat, mar, spoil, to be tortured, damage
οἰακίζω	οἴαξ	(23)	steer, govern, guide, manage,, guide
πρόσοχθίζω	ὄχθος	(20)	to be wroth with, am weary, to be treated wit…
φορμίζω	φορμός	(16)	play the, sing to the lyre of
ἀνασκολοπίζω		(16)	fix on a pole, stake, impale,
προσεταιρίζομαι	ἑταίρα	(9)	take to oneself as a friend, associate with o…
χαριεντίζομαι		(8)	to be witty, jest,, to jest, make a charming …
κολαφίζω		(7)	slap, buffet
διυλίζω	ὑλάω	(6)	strain, filter thoroughly,, strain off,
δνοπαλίζω		(6)	shake violently, fling down,, wrap, about the…
ἐπουρίζω	ἔπουρος	(5)	waft onwards,, blows,, hast turned, send afte…
κτενίζω		(5)	comb, curry, comb one's, with one's hair comb…
ἐπανθίζω	ἐπανθέω	(5)	deck as with flowers, make bright-coloured,, …
προσψηφίζομαι	ψῆφος	(4)	vote besides, it was also voted
διανθίζω	ἄνθος	(4)	adorn with flowers,, Bis Acc., to be picked o…
βατταρίζω		(4)	stammer,
ἐξευτελίζω	εὐτελής	(4)	reduce
ἐγκαλλωπίζομαι		(3)	take pride in, boast of
ὑποσυρίζω	ὑποσύρω	(3)	whistle, rustle,, make a whistling sound,, ma…
ἀπανθίζω	ἄνθος	(3)	pluck off flowers, cull the flowers of, cut o…
ἀπονυχίζω	ὄνυξ	(3)	pare the nails,, have them pared,, with, pare…
γυναικίζω	γυναικών	(3)	to be womanish, play the woman,, Aër., mulieb…
ὑποκορίζομαι	κόρη	(2)	call by endearing names,, he would call, coax…
χιονίζω	Χίονις	(2)	snow upon, cover with snow, it snowed,, to be…
διουρίζω	οὐρά	(2)	percolate,
ἐπευωνίζω	εὔωνος	(2)	lower the price of
ἐξανθίζω	ἐξανθέω	(2)	deck as with flowers, paint in various colour…
ἀργολίζω	Ἀργολίς	(2)	take the part of the Argives,
τερετίζω		(2)	hum, tunitter, accompany, talk idly, prattle
μυχθίζω		(2)	make a noise by closing the mouth and forcing…
ῥωμαΐζω		(2)	speak Latin, hold with Rome, be of the Roman …
φοιτίζω	φοιτάω	(1)	poet. for φοιτάω, Ep. impf. -ίζεσκε h.Hom. 26…
πλωΐζω	πλωάς	(1)	sail on the sea,, began to use ships, practis…
ἀφορμίζομαι	ἀφορμή	(1)	loose one's, from harbour,
συνωρίζω	ὧρος	(1)	yoke together, join, with mine, to be yoked t…
ὑφορμίζομαι	ὑφορμάω	(1)	come to anchor,, to be found under, in
συγκατοικτίζομαι	κάτοικτος	(1)	lament with, together
ἀπουρίζω	ἀπούρας	(1)	will mark off the boundaries of, take, away f…
σκορακίζω		(1)	bid, go, dismiss contemptuously, to be treate…
ὀρχιπεδίζω		(1)	seize the testicles,
διαμηρίζω	μηρός	(1)	femora diducere, inire,
ἀπανθρακίζω	ῥάξ	(1)	broil on the coals, roast,
ἐπιστοναχίζω	στοναχή	(1)	e)pistona^x-i/zw, =  foreg.,                 …
προκαταρτίζω	καταρτάω	(1)	complete beforehand,, got ready, prepared bef…
ἀποστλεγγίζω	στλεγγίς	(1)	scrape with a, scrape oneself clean,, scraped…
περσίζω	πέρσις	(1)	speak Persian, imitate the Persians, take the…
κροκυδίζω	κροκύς	(1)	pick loose flocks off a garment, twitch the b…
πλειστηρίζομαι		(1)	name as chief,
διακοντίζομαι	ἄκος	(1)	contend with others at throwing the javelin,,…
ἐξωκεανίζω	ὠκεανίς	(1)	represent as placed out in the ocean,
κορδακίζω	κόρδαξ	(1)	dance the
ἀπογαλακτίζω		(1)	wean from the mother's milk,
